feature,mean_abs_shap,rank
mrna_length,0.021909499089122163,1
mfe,0.020649036378009487,2
rrach_count,0.018875806293728224,3
cds_length,0.01879360223750434,4
di_CG,0.015844993291417392,5
di_UA,0.01280957738820802,6
di_UG,0.010109403644539402,7
n_stemloops,0.010050153668496868,8
n_residues,0.009634373942843931,9
fU,0.009371637131723322,10
utr3_length,0.00900052580094805,11
utr3_au_content,0.00899120279227487,12
rmsf_nterm50,0.008904630390951664,13
mfe_per_nt,0.00840777278986224,14
fG,0.008236834994879016,15
rmsf_nterm_cterm_ratio,0.008173953227071689,16
utr5_length,0.00807355180199782,17
di_CU,0.0080608811715085,18
utr3_au_x_length,0.007823797544889759,19
di_AG,0.0078094549896700035,20
packing_density,0.007239655219521998,21
di_UU,0.007229694359172435,22
rmsf_std,0.007192560408671218,23
utr5_fraction,0.00707483941468451,24
gc_content,0.00686583257142035,25
rmsf_max,0.006725332128475898,26
au_content,0.006407650605998552,27
rg_mean,0.006287232548514695,28
cds_fraction,0.006228095893424527,29
sasa_per_residue,0.005857717074164213,30
rmsf_mean,0.005022774221065415,31
di_GC,0.00498319944831574,32
di_CA,0.004975344982096456,33
mean_disorder,0.0048228503189925356,34
di_AU,0.004738933300851014,35
rrach_per_cds_kb,0.004475847172977004,36
di_GG,0.004470970326675066,37
rrach_per_kb,0.004465196464969848,38
n_stemloops_per_kb,0.004411834115622015,39
max_disorder_window,0.004327328713296313,40
frac_paired,0.004254970571841291,41
aaach_count,0.004245580661438783,42
rmsf_cterm50,0.004226182680593473,43
di_GA,0.004174325799812857,44
rg_std,0.004072043099614588,45
contact_density,0.003986569719934279,46
di_AA,0.0038894187222407455,47
rg_cv,0.003846526150340687,48
di_GU,0.003706443891334452,49
pass_rate,0.0037027047577677177,50
fC,0.003093242590780262,51
utr3_fraction,0.0030894590294761855,52
di_CC,0.003020938511414089,53
longest_idr_region,0.0029255323893046803,54
aaach_per_kb,0.0028548793692414302,55
packing_x_idr,0.0027680868829063027,56
idr_percent,0.002468840147774766,57
di_AC,0.002254023629555815,58
di_UC,0.002122833604418087,59
fA,0.0018750024981828485,60
n_idr_regions,0.0016978422130631986,61
long_3utr,7.367222054874495e-05,62
ptc_proxy,0.0,63
